Index,Date,Sample_Name,Reference_Gas,Setting,Electron_Energy
350,3/13/2019,C1,0,0,100
351,3/13/2019,C1,0,0,100
352,3/13/2019,C1,0,0,100
353,3/13/2019,C1,0,0,100
354,3/13/2019,C1,0,0,100
355,3/13/2019,C1,0,0,100
356,3/13/2019,C1,0,0,100
357,3/13/2019,C1,0,0,100
358,3/13/2019,C1,0,0,100
359,3/13/2019,C1,0,0,100
360,3/13/2019,C1,0,0,100
361,3/13/2019,C1,0,0,100
362,3/13/2019,C1,0,0,100
363,3/13/2019,C1,0,1,124
364,3/13/2019,C1,0,1,124
365,3/13/2019,C1,0,1,124
366,3/13/2019,C1,0,1,124
367,3/13/2019,C1,0,1,124
368,3/13/2019,C1,0,1,124
369,3/13/2019,C1,0,1,124
370,3/13/2019,C1,0,1,124
371,3/13/2019,C1,0,1,124
372,3/13/2019,C1,0,1,124
373,3/13/2019,C1,0,1,124
374,3/13/2019,C1,0,1,124
375,3/13/2019,C1,0,1,124
376,3/13/2019,C1,0,1,124
377,3/14/2019,C1,0,1,124
378,3/14/2019,C1,0,1,124
379,3/14/2019,C1,0,1,124
380,3/14/2019,C1,0,1,124
381,3/14/2019,C1,0,1,124
382,3/14/2019,C1,0,1,124
383,3/14/2019,C1,0,1,124
384,3/14/2019,C1,0,1,124
385,3/14/2019,C1,0,1,124
386,3/14/2019,C1,0,1,124
387,3/14/2019,C1,0,1,124
388,3/14/2019,C1,0,1,124
389,3/14/2019,C1,0,1,124
390,3/14/2019,C1,0,1,124
391,3/14/2019,C1,0,1,124
392,3/14/2019,C1,0,1,124
393,3/15/2019,A1,0,1,124
394,3/15/2019,A1,0,1,124
395,3/15/2019,A1,0,1,124
396,3/15/2019,A1,0,1,124
397,3/16/2019,A1,0,2,124
398,3/18/2019,A2,1,0,100
399,3/18/2019,A2,1,0,100
400,3/18/2019,A2,1,0,100
401,3/18/2019,A2,1,0,100
402,3/18/2019,A2,1,0,100
403,3/18/2019,A2,1,0,100
404,3/18/2019,A2,1,0,100
405,3/18/2019,A2,1,0,100
406,3/18/2019,A2,1,0,100
407,3/18/2019,A2,1,0,100
408,3/18/2019,A2,1,0,100
409,3/18/2019,A2,1,0,100
410,3/18/2019,A2,1,0,100
411,3/18/2019,A2,1,0,100
412,3/18/2019,A2,1,0,100
413,3/18/2019,A2,1,0,100
414,3/18/2019,A2,1,0,100
415,3/18/2019,A2,1,0,100
416,3/18/2019,A2,1,1,124
417,3/18/2019,A2,1,1,124
418,3/18/2019,A2,1,1,124
419,3/18/2019,A2,1,1,124
420,3/18/2019,A2,1,1,124
421,3/18/2019,A2,1,1,124
422,3/18/2019,A2,1,1,124
423,3/18/2019,A2,1,1,124
424,3/18/2019,A2,1,1,124
425,3/18/2019,A2,1,1,124
426,3/18/2019,A2,1,1,124
427,3/18/2019,A2,1,1,124
428,3/18/2019,A2,1,1,124
429,3/18/2019,A2,1,1,124
430,3/19/2019,A2,1,1,124
431,3/19/2019,A2,1,1,124
432,3/19/2019,A2,1,1,124
433,3/19/2019,A2,1,1,124
434,3/19/2019,A2,1,1,124
435,3/19/2019,A2,1,1,124
436,3/19/2019,A2,1,1,124
437,3/19/2019,A2,1,1,124
438,3/19/2019,A2,1,1,124
439,3/19/2019,A2,1,1,124
440,3/19/2019,A2,1,1,124
441,3/19/2019,A2,1,1,124
442,3/19/2019,A2,1,1,124
443,3/19/2019,A2,1,1,124
444,3/19/2019,A2,1,1,124
445,3/19/2019,A2,1,1,124
446,3/19/2019,C2,1,0,100
447,3/19/2019,C2,1,0,100
448,3/19/2019,C2,1,0,100
449,3/19/2019,C2,1,0,100
450,3/19/2019,C2,1,0,100
451,3/19/2019,C2,1,0,100
452,3/19/2019,C2,1,0,100
453,3/19/2019,C2,1,0,100
454,3/19/2019,C2,1,0,100
455,3/19/2019,C2,1,0,100
456,3/19/2019,C2,1,0,100
457,3/19/2019,C2,1,0,100
458,3/19/2019,C2,1,0,100
459,3/19/2019,C2,1,0,100
460,3/19/2019,C2,1,0,100
461,3/19/2019,C2,1,0,100
462,3/19/2019,C2,1,0,100
463,3/19/2019,C2,1,0,100
464,3/19/2019,C2,1,1,124
465,3/19/2019,C2,1,1,124
466,3/19/2019,C2,1,1,124
467,3/19/2019,C2,1,1,124
468,3/19/2019,C2,1,1,124
469,3/19/2019,C2,1,1,124
470,3/19/2019,C2,1,1,124
471,3/19/2019,C2,1,1,124
472,3/19/2019,C2,1,1,124
473,3/19/2019,C2,1,1,124
474,3/19/2019,C2,1,1,124
475,3/19/2019,C2,1,1,124
476,3/19/2019,C2,1,1,124
477,3/19/2019,C2,1,1,124
478,3/20/2019,C2,1,1,124
479,3/20/2019,C2,1,1,124
480,3/20/2019,C2,1,1,124
481,3/20/2019,C2,1,1,124
482,3/20/2019,C2,1,1,124
483,3/20/2019,C2,1,1,124
484,3/20/2019,C2,1,1,124
485,3/20/2019,C2,1,1,124
486,3/20/2019,C2,1,1,124
487,3/20/2019,C2,1,1,124
488,3/20/2019,C2,1,1,124
489,3/20/2019,C2,1,1,124
490,3/20/2019,C2,1,1,124
491,3/20/2019,C2,1,1,124
492,3/20/2019,C2,1,1,124
493,3/20/2019,C2,1,1,124
494,3/20/2019,C2,1,1,124
495,3/20/2019,C2,1,1,124
496,3/20/2019,C2,1,0,100
497,3/20/2019,C2,1,0,100
498,3/20/2019,C2,1,0,100
499,3/20/2019,C2,1,0,100
500,3/20/2019,B2,1,0,100
501,3/20/2019,B2,1,0,100
502,3/20/2019,B2,1,0,100
503,3/20/2019,B2,1,0,100
504,3/20/2019,B2,1,0,100
505,3/20/2019,B2,1,0,100
506,3/20/2019,B2,1,0,100
507,3/20/2019,B2,1,0,100
508,3/20/2019,B2,1,0,100
509,3/20/2019,B2,1,0,100
510,3/20/2019,B2,1,0,100
511,3/20/2019,B2,1,0,100
512,3/20/2019,B2,1,0,100
513,3/20/2019,B2,1,0,100
514,3/20/2019,B2,1,0,100
515,3/20/2019,B2,1,0,100
516,3/20/2019,B2,1,0,100
517,3/20/2019,B2,1,0,100
518,3/20/2019,B2,1,1,124
519,3/20/2019,B2,1,1,124
520,3/20/2019,B2,1,1,124
521,3/20/2019,B2,1,1,124
522,3/20/2019,B2,1,1,124
523,3/20/2019,B2,1,1,124
524,3/20/2019,B2,1,1,124
525,3/20/2019,B2,1,1,124
526,3/20/2019,B2,1,1,124
527,3/20/2019,B2,1,1,124
528,3/20/2019,B2,1,1,124
529,3/20/2019,B2,1,1,124
530,3/20/2019,B2,1,1,124
531,3/20/2019,B2,1,1,124
532,3/21/2019,B2,1,0,100
533,3/21/2019,B2,1,0,100
534,3/21/2019,B2,1,0,100
535,3/21/2019,B2,1,0,100
536,3/21/2019,B2,1,0,100
537,3/21/2019,B2,1,0,100
538,3/21/2019,B2,1,0,100
539,3/21/2019,B2,1,0,100
540,3/21/2019,B2,1,0,100
541,3/21/2019,B2,1,1,124
542,3/21/2019,B2,1,1,124
543,3/21/2019,B2,1,1,124
544,3/21/2019,B2,1,1,124
545,3/21/2019,B2,1,1,124
546,3/21/2019,B2,1,1,124
547,3/21/2019,B2,1,1,124
548,3/21/2019,B2,1,1,124
549,3/21/2019,B2,1,1,124
550,3/21/2019,B2,1,1,124
551,3/21/2019,B2,1,1,124
552,3/21/2019,B2,1,1,124
553,3/21/2019,B2,1,1,124
554,3/21/2019,B2,1,1,124
555,3/21/2019,B2,1,1,124
556,3/21/2019,B2,1,1,124
557,3/21/2019,D2,1,0,100
558,3/21/2019,D2,1,0,100
559,3/21/2019,D2,1,0,100
560,3/21/2019,D2,1,0,100
561,3/21/2019,D2,1,0,100
562,3/21/2019,D2,1,0,100
563,3/21/2019,D2,1,0,100
564,3/21/2019,D2,1,0,100
565,3/21/2019,D2,1,0,100
566,3/21/2019,D2,1,0,100
567,3/21/2019,D2,1,0,100
568,3/21/2019,D2,1,0,100
569,3/21/2019,D2,1,0,100
570,3/21/2019,D2,1,0,100
571,3/21/2019,D2,1,0,100
572,3/21/2019,D2,1,0,100
573,3/21/2019,D2,1,0,100
574,3/21/2019,D2,1,0,100
575,3/21/2019,D2,1,1,124
576,3/21/2019,D2,1,1,124
577,3/21/2019,D2,1,1,124
578,3/21/2019,D2,1,1,124
579,3/21/2019,D2,1,1,124
580,3/21/2019,D2,1,1,124
581,3/21/2019,D2,1,1,124
582,3/21/2019,D2,1,1,124
583,3/21/2019,D2,1,1,124
584,3/21/2019,D2,1,1,124
585,3/21/2019,D2,1,1,124
586,3/21/2019,D2,1,1,124
587,3/21/2019,D2,1,1,124
588,3/21/2019,D2,1,1,124
589,3/22/2019,D2,1,1,124
590,3/22/2019,D2,1,1,124
591,3/22/2019,D2,1,1,124
592,3/22/2019,D2,1,1,124
593,3/22/2019,D2,1,1,124
594,3/22/2019,D2,1,1,124
595,3/22/2019,D2,1,1,124
596,3/22/2019,D2,1,1,124
597,3/22/2019,D2,1,1,124
598,3/22/2019,D2,1,1,124
599,3/22/2019,D2,1,1,124
600,3/22/2019,D2,1,1,124
601,3/22/2019,D2,1,1,124
602,3/22/2019,D2,1,1,124
603,3/22/2019,D2,1,1,124
604,3/22/2019,D2,1,1,124
605,3/22/2019,D2,1,1,70
606,3/22/2019,D2,1,1,70
607,3/22/2019,D2,1,1,70
608,3/22/2019,D2,1,1,70
609,3/22/2019,D2,1,1,70
610,3/22/2019,D2,1,1,70
611,3/22/2019,D2,1,1,70
612,3/22/2019,D2,1,1,70
613,3/22/2019,D2,1,1,70
614,3/22/2019,D2,1,1,70
615,3/22/2019,D2,1,1,70
616,3/22/2019,D2,1,1,70
617,3/22/2019,D2,1,1,70
618,3/22/2019,D2,1,1,70
619,3/26/2019,A2,1,1,70
620,3/26/2019,A2,1,1,70
